,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,two_step_10_cat_ctime_sum,knn,67,0.8401297869609442,0.8404815238480251,55.81943329626227,0.21637271087710958,0.8266383281036808,"{'knn__n_neighbors': 5, 'pca__n_components': 67}"
1,ShorterThan1.2Kms,two_step_10_cat_ctime_sum,dtr,85,0.7288308205702891,0.7294274307907409,69.87511483970795,0.2726029727836034,0.6792521610801758,"{'dtr__criterion': 'mae', 'pca__n_components': 85}"
2,ShorterThan1.2Kms,two_step_10_cat_ctime_sum,lasso,80,0.7497224675717193,0.7502731132391591,84.89797898353267,0.4196255543017446,0.7463693833126878,"{'lasso__alpha': 0.46, 'pca__n_components': 80}"
3,ShorterThan1.2Kms,two_step_10_cat_ctime_sum,elasticnet,66,0.7460278201830155,0.7465865945928061,85.20328495062533,0.4219621250924886,0.7441942310664349,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 66}"
4,ShorterThan1.2Kms,two_step_10_cat_ctime_sum,svr,48,0.7459160330608979,0.7464750534180329,83.94556852339188,0.40639671250521486,0.7451333462031753,"{'pca__n_components': 48, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_continuous_cpu_max,knn,51,0.9154737747045081,0.9162686570880816,1248.3004017127976,0.15315815574037928,0.8990717267176065,"{'knn__n_neighbors': 3, 'pca__n_components': 51}"
1,Between2KmsAnd25Kms,two_step_continuous_cpu_max,dtr,43,0.8439303814227176,0.8453980559815238,1628.7303668388292,0.19875168955639042,0.8234248657953817,"{'dtr__criterion': 'mse', 'pca__n_components': 43}"
2,Between2KmsAnd25Kms,two_step_continuous_cpu_max,lasso,48,0.8607725422759154,0.8620818336002081,1955.1634464297576,0.30915384637524596,0.8609363765111091,"{'lasso__alpha': 0.41000000000000003, 'pca__n_components': 48}"
3,Between2KmsAnd25Kms,two_step_continuous_cpu_max,elasticnet,59,0.8204636161419361,0.8221519715398066,2315.047095938397,0.3498377831642663,0.8218683156926201,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.8, 'pca__n_components': 59}"
4,Between2KmsAnd25Kms,two_step_continuous_cpu_max,svr,35,0.85942820475358,0.8607501381923212,1969.1880134213532,0.31399891180137085,0.8597172872571269,"{'pca__n_components': 35, 'svr__alpha': 0.0901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_8_cat_cpu_max,knn,67,0.9083990196402761,0.909648675398826,1295.4096587648437,0.16254228077548974,0.8922508093798849,"{'knn__n_neighbors': 3, 'pca__n_components': 67}"
1,Between2KmsAnd25Kms,two_step_8_cat_cpu_max,dtr,96,0.8448040275781626,0.8469212706456394,1600.1817640047675,0.20065264728868282,0.8147052988316221,"{'dtr__criterion': 'mse', 'pca__n_components': 96}"
2,Between2KmsAnd25Kms,two_step_8_cat_cpu_max,lasso,49,0.8617449599607789,0.863631088321579,1823.9114357162423,0.26861994937047645,0.8647766411925502,"{'lasso__alpha': 0.41000000000000003, 'pca__n_components': 49}"
3,Between2KmsAnd25Kms,two_step_8_cat_cpu_max,elasticnet,74,0.8412607288603641,0.8434263109699511,2033.5057124457544,0.3074465087563139,0.8426489101681721,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 74}"
4,Between2KmsAnd25Kms,two_step_8_cat_cpu_max,svr,49,0.8613845842175201,0.863275628962632,1827.761147312337,0.2698420274334716,0.8606740026993587,"{'pca__n_components': 49, 'svr__alpha': 0.18009999999999998, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_9_cat_cpu_max,knn,67,0.9092135437415095,0.9105001862341795,1304.2911314174723,0.1653877119911138,0.8918759872546137,"{'knn__n_neighbors': 3, 'pca__n_components': 67}"
1,Between2KmsAnd25Kms,two_step_9_cat_cpu_max,dtr,42,0.8130367030158947,0.8156863815294443,1742.2401006489206,0.22717876882152588,0.7932627811227106,"{'dtr__criterion': 'mse', 'pca__n_components': 42}"
2,Between2KmsAnd25Kms,two_step_9_cat_cpu_max,lasso,51,0.8539633723351743,0.8560330305020797,1872.4078703158582,0.27946183020852444,0.8554666294941189,"{'lasso__alpha': 0.41000000000000003, 'pca__n_components': 51}"
3,Between2KmsAnd25Kms,two_step_9_cat_cpu_max,elasticnet,71,0.8766307795048889,0.8783791909741574,1735.7467036266746,0.25889002354583884,0.8739333217524965,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 71}"
4,Between2KmsAnd25Kms,two_step_9_cat_cpu_max,svr,53,0.8614537505502845,0.8634172536881811,1806.3546999739785,0.26697988152708296,0.8672077771408666,"{'pca__n_components': 53, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_10_cat_cpu_max,knn,76,0.910893481039956,0.9122035239014878,1262.0015009049575,0.159567254503156,0.8912394404102344,"{'knn__n_neighbors': 3, 'pca__n_components': 76}"
1,Between2KmsAnd25Kms,two_step_10_cat_cpu_max,dtr,73,0.843401419805396,0.8457037300572636,1593.9573566415045,0.20086479800315504,0.8028953718501834,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 73}"
2,Between2KmsAnd25Kms,two_step_10_cat_cpu_max,lasso,105,0.8870304176257895,0.8886912949295693,1644.7728956605977,0.24276727935871464,0.8872736771516541,"{'lasso__alpha': 0.46, 'pca__n_components': 105}"
3,Between2KmsAnd25Kms,two_step_10_cat_cpu_max,elasticnet,79,0.8767921750274176,0.8786035748382728,1718.781503042114,0.2581424124049093,0.8755028092761568,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 79}"
4,Between2KmsAnd25Kms,two_step_10_cat_cpu_max,svr,55,0.8609111433403113,0.8629560258686855,1790.3421580166194,0.26439390188122003,0.8615921378136482,"{'pca__n_components': 55, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_continuous_ctime_sum,knn,51,0.9160525838166798,0.9168420230946951,1240.3644108948042,0.15804238892852737,0.9023947764587,"{'knn__n_neighbors': 3, 'pca__n_components': 51}"
1,Between2KmsAnd25Kms,two_step_continuous_ctime_sum,dtr,68,0.8614389736196318,0.8627419978412221,1565.7972453979605,0.20037990890800111,0.83936027548788,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 68}"
2,Between2KmsAnd25Kms,two_step_continuous_ctime_sum,lasso,67,0.8701520297809999,0.871373116653258,1881.2429326436836,0.31000295015735696,0.868981294639332,"{'lasso__alpha': 0.46, 'pca__n_components': 67}"
3,Between2KmsAnd25Kms,two_step_continuous_ctime_sum,elasticnet,57,0.8662508043527628,0.8675085782456043,1914.068697419797,0.31458205746680074,0.8603006488708975,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 57}"
4,Between2KmsAnd25Kms,two_step_continuous_ctime_sum,svr,35,0.8688335454604776,0.8700670313243593,1890.6897909221523,0.3108392760874387,0.8686082716747185,"{'pca__n_components': 35, 'svr__alpha': 0.1201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_8_cat_ctime_sum,knn,78,0.9103675971654954,0.9115903968333039,1261.5429744404714,0.1686510860322188,0.8984932221224985,"{'knn__n_neighbors': 3, 'pca__n_components': 78}"
1,Between2KmsAnd25Kms,two_step_8_cat_ctime_sum,dtr,90,0.855288368308778,0.8572625799729099,1563.5635677393723,0.20464766176832688,0.8266628669351819,"{'dtr__criterion': 'mse', 'pca__n_components': 90}"
2,Between2KmsAnd25Kms,two_step_8_cat_ctime_sum,lasso,67,0.8921997567523541,0.8936704090774544,1657.4287008171727,0.25097995841252596,0.8899408577147855,"{'lasso__alpha': 0.11, 'pca__n_components': 67}"
3,Between2KmsAnd25Kms,two_step_8_cat_ctime_sum,elasticnet,88,0.882242877704308,0.8838493655978783,1711.8142741200936,0.2629464822012591,0.8847616349614018,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 88}"
4,Between2KmsAnd25Kms,two_step_8_cat_ctime_sum,svr,51,0.8721372171575483,0.873881570353942,1761.7899527880609,0.27269889124761554,0.8745732547454921,"{'pca__n_components': 51, 'svr__alpha': 0.15009999999999998, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_9_cat_ctime_sum,knn,65,0.9127563632189869,0.9139927962170754,1270.1360526199621,0.16733522143076582,0.8996872110096183,"{'knn__n_neighbors': 3, 'pca__n_components': 65}"
1,Between2KmsAnd25Kms,two_step_9_cat_ctime_sum,dtr,93,0.8490934138994501,0.8512320900203454,1606.0592636736856,0.21117436637026843,0.8190617525289743,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 93}"
2,Between2KmsAnd25Kms,two_step_9_cat_ctime_sum,lasso,93,0.8945747900632817,0.8960688956875504,1628.1838920245407,0.24015428922505547,0.8925155999834318,"{'lasso__alpha': 0.46, 'pca__n_components': 93}"
3,Between2KmsAnd25Kms,two_step_9_cat_ctime_sum,elasticnet,95,0.8843967098090567,0.8860350610740144,1700.209815663355,0.25452309925931954,0.8834706123870084,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 95}"
4,Between2KmsAnd25Kms,two_step_9_cat_ctime_sum,svr,53,0.8631711862687829,0.8651103495892121,1809.143461792995,0.26738180149231705,0.8685839920814116,"{'pca__n_components': 53, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,Between2KmsAnd25Kms,two_step_10_cat_ctime_sum,knn,105,0.9126467137461158,0.9139309806036232,1251.4381759590342,0.16357006282042344,0.9011334118863527,"{'knn__n_neighbors': 3, 'pca__n_components': 105}"
1,Between2KmsAnd25Kms,two_step_10_cat_ctime_sum,dtr,49,0.8421592017320445,0.8444797750575734,1594.735862799629,0.21693314977480874,0.8022993911242855,"{'dtr__criterion': 'mae', 'pca__n_components': 49}"
2,Between2KmsAnd25Kms,two_step_10_cat_ctime_sum,lasso,103,0.8943583877064315,0.8959115292911449,1615.5735999831838,0.24529054439679718,0.8923963939473252,"{'lasso__alpha': 0.46, 'pca__n_components': 103}"
3,Between2KmsAnd25Kms,two_step_10_cat_ctime_sum,elasticnet,100,0.8833507321395511,0.8850657081306119,1693.7741416411654,0.2606331453782853,0.88485217522453,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 100}"
4,Between2KmsAnd25Kms,two_step_10_cat_ctime_sum,svr,55,0.8591597634020749,0.861230394695104,1835.0300295033915,0.2822494857807166,0.8580264171593616,"{'pca__n_components': 55, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,two_step_continuous_cpu_max,knn,24,0.9744960288105392,0.9745174295471605,670.0138656324003,0.20617156862352742,0.9540238965285145,"{'knn__n_neighbors': 5, 'pca__n_components': 24}"
1,ExecutedMoreThan3Ktimes,two_step_continuous_cpu_max,dtr,29,0.9649595266363722,0.9649889295844845,759.785349344571,0.2518530339072872,0.9534888884119332,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 29}"
2,ExecutedMoreThan3Ktimes,two_step_continuous_cpu_max,lasso,33,0.7783849099623172,0.7785708702638705,3143.7084380725887,8.190957281336125,0.7765279579436339,"{'lasso__alpha': 0.7100000000000001, 'pca__n_components': 33}"
