,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
3,elasticnet,22,0.6295637692670322,0.633093550502448,181.69742139004083,0.14117418762162,-0.430238912028976,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 22}",0.43289423934882554,mProjectPP,15536
4,svr,17,0.6335646910831556,0.6370563486752038,192.3414886760132,0.1540289621192075,-0.44234478509716135,"{'pca__n_components': 17, 'svr__alpha': 0.0201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.4582537374423482,mProjectPP,15536
0,knn,28,83.9244758751838,-21.875717482809325,4024.7,0.8398465394520268,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",2.8475576393343576,mShrink,119
1,dtr,35,55.45281389046565,-14.021465900818109,2959.4666666666667,0.9648654058356574,,"{'dtr__criterion': 'mse', 'pca__n_components': 35}",2.0938832496886857,mShrink,119
2,lasso,21,432.16971697328796,-117.94337019952772,9089.023365603636,5.84151787474333,,"{'lasso__alpha': 0.01, 'pca__n_components': 21}",6.430670091885881,mShrink,119
3,elasticnet,18,28.074392270134886,-6.468797867623417,3912.4335763515164,4.325449533947162,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 18}",2.7681268464054467,mShrink,119
4,svr,19,4.8577468230358285,-0.06420602014781474,1129.7672475586962,0.5845626996484957,,"{'pca__n_components': 19, 'svr__alpha': 0.0301, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.7993334550290745,mShrink,119
0,knn,28,-0.2934895360062335,0.5149414239976624,1988.2412280701753,0.7280363563636597,-0.30786939005846947,"{'knn__n_neighbors': 4, 'pca__n_components': 28}",0.3365828192901607,mViewer,226
1,dtr,22,0.21853066501806762,0.7069489993817754,1825.6491228070176,0.73798701034932,-0.32259751850788476,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 22}",0.30905813646436797,mViewer,226
2,lasso,34,-0.08791024384676249,0.592033658557464,2294.134465355726,2.266245690768833,-0.45774502502755254,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 34}",0.3883664795190044,mViewer,226
3,elasticnet,18,-0.1444875755607673,0.5708171591647123,2413.488437376678,2.524655882737971,-0.32516907576265186,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 18}",0.4085715209541843,mViewer,226
4,svr,16,-0.22776697267450774,0.5395873852470596,2742.198617063793,3.232042843712353,-0.3772983265276071,"{'pca__n_components': 16, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.46421778633006733,mViewer,226
0,knn,30,1.1474788436408554,0.8820169250873157,1986769.5238095238,0.2736459475135144,,"{'knn__n_neighbors': 1, 'pca__n_components': 30}",0.2349315131743872,merge_gcvf,83
1,dtr,34,1.5464390211627448,0.5628487830698041,4909729.0,1.3314251723207782,,"{'dtr__criterion': 'poisson', 'pca__n_components': 34}",0.5805656113722202,merge_gcvf,83
2,lasso,19,1.0535663314154475,0.9571469348676419,1620801.3282816992,0.25606049454709207,,"{'lasso__alpha': 0.01, 'pca__n_components': 19}",0.19165650773530907,merge_gcvf,83
3,elasticnet,27,1.0345260778043657,0.9723791377565074,1172749.0951041498,0.16357777095410403,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 27}",0.13867522940377333,merge_gcvf,83
4,svr,19,3.695427568812605,-1.156342055050084,11041962.044762693,0.9999999238668268,,"{'pca__n_components': 19, 'svr__alpha': 0.0301, 'svr__loss': 'huber', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",1.3056898751981023,merge_gcvf,83
0,knn,35,0.8181680495076051,0.873769555030073,14425.811475409837,0.08877008953373257,-0.22859320610647074,"{'knn__n_neighbors': 1, 'pca__n_components': 35}",0.24812735498138677,realign_target_creator,487
