,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
3,ExecutedMoreThan3Ktimes,5cat_more_res,mlp,38,0.9590051007545389,0.9591017260670283,1153.6098516531492,0.4822901516451044,0.954447906776732,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 38}"
4,ExecutedMoreThan3Ktimes,5cat_more_res,elasticnet,70,0.9257790434007166,0.9259539828018777,2194.042018653109,3.971673715880937,0.9240436696862471,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 70}"
5,ExecutedMoreThan3Ktimes,5cat_more_res,svr,38,0.9311094494509459,0.9312718250414921,2153.923850475896,3.891423517950399,0.9295205161517919,"{'pca__n_components': 38, 'svr__alpha': 0.050100000000000006, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,6cat_more_res,knn,52,0.958221172466376,0.9583248973995989,1025.3225961890994,0.25662241602914604,0.9569024753242725,"{'knn__n_neighbors': 3, 'pca__n_components': 52}"
1,ExecutedMoreThan3Ktimes,6cat_more_res,dtr,64,0.957785365246746,0.9578901721652094,1082.4332566415053,0.684550083410692,0.9523901800831408,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 64}"
2,ExecutedMoreThan3Ktimes,6cat_more_res,lasso,76,0.9424365833076941,0.9425794968815059,1848.5922714111123,3.3058730256406057,0.9418365762847083,"{'lasso__alpha': 0.76, 'pca__n_components': 76}"
3,ExecutedMoreThan3Ktimes,6cat_more_res,mlp,44,0.9640400062117239,0.9641292846375339,1017.5935130828694,0.5188834242546561,0.9605444287798306,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 44}"
4,ExecutedMoreThan3Ktimes,6cat_more_res,elasticnet,57,0.9406294800025226,0.9407768800993108,1884.9830433154318,3.3887042077538885,0.9398537741800068,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 57}"
5,ExecutedMoreThan3Ktimes,6cat_more_res,svr,40,0.9388206443503854,0.9389725352710743,2007.2298187735385,4.022043570141065,0.9381861615267821,"{'pca__n_components': 40, 'svr__alpha': 0.0201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ExecutedMoreThan3Ktimes,7cat_more_res,knn,61,0.9580131282569355,0.9581213282406857,997.1832909085196,0.24734422440045709,0.9548259842305762,"{'knn__n_neighbors': 2, 'pca__n_components': 61}"
1,ExecutedMoreThan3Ktimes,7cat_more_res,dtr,67,0.9553989245679947,0.9555138613431494,1273.1776048753593,1.297715431481612,0.9546963818532332,"{'dtr__criterion': 'mse', 'dtr__max_depth': 5, 'pca__n_components': 67}"
2,ExecutedMoreThan3Ktimes,7cat_more_res,lasso,57,0.944659267636052,0.9448018804598686,1825.445639329412,3.5622170054679674,0.9437330574969387,"{'lasso__alpha': 0.81, 'pca__n_components': 57}"
3,ExecutedMoreThan3Ktimes,7cat_more_res,mlp,53,0.9677295967316049,0.9678127574188459,929.6651347770578,0.40863289587165014,0.9637898617198793,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 53}"
4,ExecutedMoreThan3Ktimes,7cat_more_res,elasticnet,73,0.9434876369028129,0.9436332690138741,1853.2254569979586,3.5116337086467393,0.9423356544445058,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 73}"
5,ExecutedMoreThan3Ktimes,7cat_more_res,svr,43,0.9435413024130244,0.9436867962283019,1833.8590215368072,3.4864004932210997,0.9426916569672754,"{'pca__n_components': 43, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,8cat_more_res,knn,78,0.9629198302430749,0.9630200469180936,936.2681457737552,0.23860125518558797,0.9611019727602186,"{'knn__n_neighbors': 3, 'pca__n_components': 78}"
