,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
4,svr,18,0.6745619227944691,0.7740760455763257,341.88942771478935,0.0892724567225956,0.5531007648633138,"{'pca__n_components': 18, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.5040682843795162,indel_realign,487
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,indel_realign,487
0,knn,25,-0.03542051875335095,0.5110514216998064,15278.455707762556,1.3886800335376808,0.18085535142866915,"{'knn__n_neighbors': 15, 'pca__n_components': 25}",0.5703121969241209,mAdd,290
1,dtr,21,-1.7421087931880228,-0.2948847078943442,18257.465753424658,2.712679445937192,0.2429330995068364,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 21}",0.6815122943879884,mAdd,290
2,lasso,18,0.08796353485061414,0.5693161136794567,25965.144380987196,18.437253442909373,0.0671617910147062,"{'lasso__alpha': 0.46, 'pca__n_components': 18}",0.9692235143797386,mAdd,290
3,elasticnet,18,-0.24429416761158684,0.4124166430723063,24550.102304385575,24.798866090642623,0.23350564851051303,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 18}",0.9164030087682509,mAdd,290
4,svr,18,-0.11462282901460741,0.47365033074310203,25147.34815765779,28.01977941830395,0.13890408015897054,"{'pca__n_components': 18, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.9386969238862848,mAdd,290
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,mAdd,290
0,knn,31,0.9187652472744365,0.9191967430255648,585.4099930118798,0.22660001815284647,0.9108134707141354,"{'knn__n_neighbors': 2, 'pca__n_components': 31}",0.14233255425079877,mBackground,28618
1,dtr,34,0.9087447805803757,0.9092295021819895,631.6665269042628,0.28475561482031736,0.9013474827792167,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.1535790493538605,mBackground,28618
2,lasso,16,0.6800129768617067,0.6817126563248399,2187.9147674051605,5.439004055599072,0.6824382746154326,"{'lasso__alpha': 0.51, 'pca__n_components': 16}",0.5319545293814267,mBackground,28618
3,elasticnet,23,0.7560128869337063,0.7573088766312908,1832.0840128647383,4.1901636521215115,0.7515636496728851,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 23}",0.4454402901656647,mBackground,28618
4,svr,19,0.7130231582802786,0.7145474971096537,1986.892032822446,4.475316112738715,0.7133887653261565,"{'pca__n_components': 19, 'svr__alpha': 0.0201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.48307924604635466,mBackground,28618
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,mBackground,28618
0,knn,34,0.2989895779670143,0.6741782545480489,5706.222222222223,0.30603633260330965,0.5090383849553165,"{'knn__n_neighbors': 4, 'pca__n_components': 34}",0.2897054805266693,mBgModel,288
1,dtr,22,-0.3868955001865906,0.3553865985048241,4951.361111111111,0.1806804885360347,0.2945297250559827,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 22}",0.25138110541318576,mBgModel,288
2,lasso,36,0.24266235941541803,0.6479979980381521,9563.09688394293,3.0120135106012937,0.6052208648481732,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 36}",0.4855193979821641,mBgModel,288
3,elasticnet,21,-0.19382949217212664,0.44512150363830727,7976.992028545688,1.3953940431946679,0.556970776627874,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 21}",0.40499269372780494,mBgModel,288
4,svr,20,0.18687826395488483,0.6220701790212845,8666.933590749828,2.361086708040974,0.271712239959861,"{'pca__n_components': 20, 'svr__alpha': 0.0901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.4400210967639262,mBgModel,288
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,mBgModel,288
0,knn,23,0.08407335997373444,0.5742876180159611,7595.255555555555,0.678547704287896,0.22490531865664165,"{'knn__n_neighbors': 5, 'pca__n_components': 23}",0.37078837585957003,mConcatFit,288
1,dtr,31,-0.5143379294073247,0.2961527933740603,9656.208333333334,0.742432227141468,0.4710293997911223,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 31}",0.47140083420358636,mConcatFit,288
2,lasso,21,0.18308737456352253,0.620308216346426,9244.979094503995,7.945493857263987,0.5594006271213872,"{'lasso__alpha': 0.01, 'pca__n_components': 21}",0.4513252724984945,mConcatFit,288
3,elasticnet,21,-0.03898563950055367,0.5170911816405878,9463.883706199493,7.273139903088459,0.5087187806853508,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.6000000000000001, 'pca__n_components': 21}",0.46201184977624965,mConcatFit,288
4,svr,20,0.18406561978816827,0.6207628937043599,9013.370674181715,7.9922689049219535,0.48239707968769585,"{'pca__n_components': 20, 'svr__alpha': 0.0801, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.4400185153553614,mConcatFit,288
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,mConcatFit,288
0,knn,23,0.8236804112617477,0.8239250045655865,273.4995497797571,0.2534678746142604,0.8098917768453155,"{'knn__n_neighbors': 6, 'pca__n_components': 23}",0.22247945660091908,mDiffFit,109575
1,dtr,26,0.8144562410981848,0.814713630315805,284.0055486602906,0.3124410001826219,0.811398543247829,"{'dtr__criterion': 'mse', 'pca__n_components': 26}",0.2310256093235586,mDiffFit,109575
