,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
30398,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,9291784192,6475354112,1630224384,14136913920,341479424,4040949760,943267840,5325697024,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,1478876.0
29170,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.8,4,2,1,16824102912,10848436224,5975666688,1432829952,15391272960,332763136,3822125056,849342464,5004230656,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1202389.0
18876,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,9749348352,6017789952,1459978240,14307160064,341479424,3789508608,883441664,5014429696,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,1469803.0
73872,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.8,4,2,1,16824102912,10680492032,6143610880,1440194560,15383908352,352870400,3817246720,931876864,5101993984,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1217088.0
22527,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,3948355584,4308844544,1143173120,7114027008,2768896,2823938048,662835200,3489542144,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1326342.0
7048,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,8440807424,7326330880,1191727104,14575411200,291880960,5696942080,565616640,6554439680,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,1389282.0
6336,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,3.1,4,2,1,16824107008,13516197888,3307909120,995745792,15828361216,70848512,2356809728,283377664,2711035904,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,932210.0
14829,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26398773248,6960242688,1810685952,31548329984,2768896,3910430720,1773318144,5686517760,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,1273517.0
81339,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,9631358976,6135779328,1418014720,14349123584,342298624,3935367168,895885312,5173551104,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,1455384.0
80064,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10934874112,5889228800,1416015872,15408087040,339140608,3720777728,876744704,4936663040,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,1391587.0
