,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
27892,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,11449942016,4317196288,1188007936,14579130368,252911616,2816757760,463773696,3533443072,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.48125,0.48125,0.696875,0.515625,0.725,0.85625,2957.0
72684,montage,1.0,mConcatFit,3,264,1,mConcatFit,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10599448576,6224654336,1359724544,15464378368,318783488,4179853312,780656640,5279293440,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.6375,0.65,0.6125,0.46875,0.11875,0.09375,2375.0
62180,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,12748324864,4075778048,1315434496,15508668416,279478272,2389102592,505749504,3174330368,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.44375,0.44375,0.4875,0.4375,0.7,0.921875,3601.0
60352,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon®,3.1,4,2,1,16824107008,7843340288,8980766720,1311821824,15512285184,328187904,7024775168,729157632,8082120704,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.71875,0.71875,0.98125,0.90625,0.23125,0.16875,12757.0
16,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4664995840,3592204288,964235264,7292964864,2768896,2599100416,483602432,3085471744,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.175,0.209375,0.209375,0.209375,0.31875,0.31875,133.0
24940,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4690178048,3567022080,1602748416,6654451712,2768896,1243279360,1146585088,2392633344,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.8,0.79375,0.49375,0.74375,0.80625,0.80625,19251.0
55278,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,12125966336,3641171968,1202892800,14564245504,262365184,2148970496,418332672,2829668352,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.175,0.209375,0.209375,0.209375,0.41875,0.41875,171.0
57549,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,4811841536,12012261376,1562365952,15261736960,341192704,9503141888,1092673536,10937008128,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.95625,0.95625,0.5875,0.84375,0.98125,0.765625,78407.0
24482,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,AMD,EPYC 7B12,2.25,4,4,1,16824102912,12890144768,3933958144,1429757952,15394344960,343040000,1739829248,877142016,2960011264,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,1.0,1.0,0.953125,0.94375,1.0,0.728125,113795.0
61951,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,12468277248,4355825664,1406255104,15417847808,281583616,2571165696,507613184,3360362496,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.43125,0.43125,0.50625,0.45,0.6125,0.58125,3462.0
19361,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,3354378240,4902821888,1028067328,7229132800,2768896,3666087936,696963072,4365819904,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.175,0.209375,0.209375,0.209375,0.353125,0.353125,1637.0
19674,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,4353130496,3904069632,1031991296,7225208832,2768896,2668515328,694206464,3365490688,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7125,0.7125,0.5375,0.73125,0.1375,0.253125,10802.0
35859,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,12450648064,4373454848,1377251328,15446851584,285810688,2638905344,471564288,3396280320,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.175,0.209375,0.209375,0.209375,0.3625,0.3625,124.0
40511,montage2,0.25,mConcatFit,3,142,1,mConcatFit,AMD,EPYC 7B12,2.25,4,4,1,16824102912,12076568576,4747534336,1156743168,15667359744,281976832,3191590912,524312576,3997880320,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.5375,0.525,0.796875,0.578125,0.5875,0.728125,2397.0
13790,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,28531355648,4827660288,1351069696,32007946240,2768896,3295444992,761929728,4060143616,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.175,0.209375,0.209375,0.209375,0.46875,0.46875,1727.0
67632,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,11984138240,3783000064,1222332416,14544805888,287633408,2182410240,490143744,2960187392,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.45,0.45,0.725,0.5375,0.70625,0.80625,3171.0
55258,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,11884752896,3882385408,1233965056,14533173248,274927616,2331217920,438145024,3044290560,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.175,0.209375,0.209375,0.209375,0.50625,0.50625,166.0
67403,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,11938136064,3829002240,1218347008,14548791296,287133696,2239201280,481959936,3008294912,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.4625,0.4625,0.7375,0.55,0.7375,0.646875,3158.0
32756,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,7910809600,8913293312,1372958720,15451144192,340496384,6734966784,916979712,7992442880,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.8625,0.8625,0.9125,0.95625,0.8625,0.940625,30879.0
21657,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,16824102912,11204562944,5619539968,1276153856,15547949056,301150208,3803037696,669278208,4773466112,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.66875,0.66875,0.8125,0.71875,0.75,0.6625,6008.0
8217,montage,1.0,mConcatFit,3,264,1,mConcatFit,Intel®,Xeon®,2.8,4,2,1,16824102912,13335400448,3488702464,1086631936,15737470976,120053760,2374389760,322793472,2817236992,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.50625,0.59375,0.425,0.41875,0.2125,0.14375,3807.0
75649,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,16824102912,5815803904,11008299008,1378099200,15446003712,337010688,8728535040,1027321856,10092867584,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.925,0.925,0.928125,0.99375,0.91875,0.80625,48740.0
54270,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,3.1,4,4,1,16824107008,7871197184,8952909824,1288028160,15536078848,329625600,7018377216,725135360,8073138176,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.6125,0.584375,0.99375,0.6625,0.65,0.66875,2092.0
468,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,18768216064,14590799872,2245074944,31113940992,2768896,10684837888,2468012032,13155618816,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.80625,0.8,0.575,0.70625,0.8125,0.959375,16504.0
37041,montage2,0.25,mConcatFit,3,142,1,mConcatFit,AMD,EPYC 7B12,2.25,4,4,1,16824102912,12777807872,4046295040,1340624896,15483478016,327237632,2134319104,661430272,3122987008,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.46875,0.4625,0.83125,0.590625,0.6,0.6,3074.0
