,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
15233,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,19271897088,14087118848,5999403008,27359612928,2768896,6687158272,1902891008,8592818176,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.882903981264637,0.9156908665105387,0.01405152224824356,0.09836065573770492,0.8571428571428571,0.9156908665105387,253038.0
29255,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,6652301312,10171801600,2937057280,13887045632,332763136,6484475904,868433920,7685672960,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.5433255269320844,0.522248243559719,0.414519906323185,0.4519906323185012,0.8688524590163935,0.4918032786885246,137153.0
80984,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,10694496256,6129606656,1047769088,15776333824,95129600,5041352704,339853312,5476335616,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.28805620608899296,0.27868852459016397,0.5925058548009368,0.7728337236533958,0.550351288056206,0.639344262295082,109470.0
37686,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13073866752,3750236160,1238728704,15585374208,121167872,2447966208,340144128,2909278208,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.9133489461358313,0.9039812646370023,0.05152224824355972,0.03278688524590164,0.8946135831381733,0.6440281030444964,245867.0
55082,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824086528,11367518208,5456568320,1058091008,15765995520,150126592,4271505408,369217536,4790849536,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.8782201405152225,0.8665105386416861,0.351288056206089,0.117096018735363,0.9156908665105387,0.16744730679156908,233766.0
73685,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,11561275392,5262827520,1506021376,15318081536,125554688,3644833792,388714496,4159102976,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.5644028103044496,0.550351288056206,0.36885245901639346,0.44730679156908665,0.8360655737704918,0.6416861826697893,143687.0
81171,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824086528,7263944704,9560141824,1197805568,15626280960,156876800,8089116672,516505600,8762499072,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.30679156908665106,0.29508196721311475,0.5269320843091335,0.7868852459016393,0.1920374707259953,0.32786885245901637,108097.0
12057,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,3192881152,5064318976,1057050624,7200149504,2768896,3727273984,563195904,4293238784,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7072599531615925,0.7096018735362998,0.12646370023419204,0.3372365339578455,0.023419203747072598,0.023419203747072598,188669.0
72913,soykb,56.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,10974523392,5849579520,1381437440,15442665472,332255232,3763671040,836358144,4932284416,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.33021077283372363,0.30210772833723654,0.7939110070257611,0.522248243559719,0.6838407494145199,0.2107728337236534,110100.0
10662,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,19106095104,14252920832,8390000640,24969015296,2768896,4564594688,1822322688,6389686272,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9484777517564403,0.946135831381733,0.24355971896955503,0.09133489461358314,0.927400468384075,0.9063231850117096,268473.0
6953,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,10876383232,4890755072,1177882624,14589255680,297742336,3238461440,582332416,4118536192,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,0.3325526932084309,0.3325526932084309,0.8395784543325527,0.82903981264637,0.16627634660421545,0.6721311475409836,112778.0
74443,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11424063488,5400039424,1726611456,15097491456,298754048,3307720704,520454144,4126928896,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.819672131147541,0.8243559718969555,0.00234192037470726,0.03981264637002342,0.8384074941451991,0.7751756440281031,222094.0
54175,soykb,654.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,7235072000,9589030912,1218961408,15605141504,151568384,8117411840,508420096,8777400320,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.5011709601873536,0.5128805620608899,0.7435597189695551,0.639344262295082,0.2224824355971897,0.28337236533957844,134735.0
