,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
11809,montage,1.0,mAdd,4,202,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5263122432,2994077696,861675520,7395524608,2768896,2104672256,402239488,2509680640,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.59375,0.59375,0.7375,0.775,0.2,0.315625,3299.0
7404,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,3796799488,4460400640,1170706432,7086493696,2768896,2681159680,603734016,3287662592,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.86875,0.8625,0.74375,0.65625,0.80625,1.0,21473.0
19170,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4199247872,4057952256,1018245120,7238955008,2768896,2808279040,714264576,3525312512,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.146875,0.296875,0.296875,0.296875,0.35625,0.24375,662.0
28837,montage,1.0,mAdd,4,202,2,mAdd,AMD,EPYC 7B12,2.25,4,2,1,16824102912,14479765504,2344337408,1039994880,15784108032,124694528,1306845184,288649216,1720188928,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.6375,0.640625,0.8375,0.81875,0.28125,0.425,3683.0
27929,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,11642232832,4124905472,1190805504,14576332800,255148032,2618368000,463966208,3337482240,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.415625,0.296875,0.296875,0.296875,0.79375,0.76875,693.0
72798,montage,1.0,mAdd,4,202,2,mAdd,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13047402496,3776700416,1307586560,15516516352,312332288,2009018368,556331008,2877681664,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.61875,0.61875,0.84375,0.8375,0.25,0.34375,3812.0
62217,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,12719321088,4104781824,1326149632,15497953280,280932352,2394730496,520060928,3195723776,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.053125,0.296875,0.296875,0.296875,0.709375,0.640625,1625.0
60696,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon®,3.1,4,2,1,16824107008,7811928064,9012178944,1327222784,15496884224,329560064,7027863552,742400000,8099823616,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.88125,0.91875,0.9875,0.89375,0.925,0.9375,13251.0
21,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4617490432,3639709696,964489216,7292710912,2768896,2644398080,485621760,3132788736,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.240625,0.296875,0.296875,0.296875,0.35,0.2375,187.0
25184,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,1419685888,6837514240,1594179584,6663020544,2768896,4604608512,1019543552,5626920960,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.725,0.7125,0.803125,0.9375,0.5,0.55,6643.0
